test_no,dr1_period,dr_threshold,cost_per_review,rework_load_factor,decay,uncertainty_threshold,maturity_threshold,steps,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
TestNo_016,21,0.12409300619664812,140.01261647524458,0.8740798892905717,0.7251805155695905,0.3298187408059114,0.6830798420637176,1500,24,9,1,5.000088573275144,0,0,0,8260.744372039431,3
TestNo_017,23,0.14769963865660532,157.1755052466084,0.31750185818715865,0.716400565971354,0.3987302035103204,0.5474010494392606,1500,24,6,3,4.876511863744976,0,0,0,9273.354809549895,3
TestNo_018,12,0.4124370498034995,192.93649578593718,0.7996982260729627,0.9077391772165673,0.20364703144321605,0.769607967623517,1500,24,10,2,5.141166152937441,0,0,0,11383.253251370294,3
TestNo_019,22,0.15521593170555134,122.29686157398746,0.4858841251934814,0.6124806258789295,0.35450169791291697,0.714221525951869,1500,24,12,0,5.947944893935911,0,0,0,7215.514832865259,3
TestNo_020,14,0.22075031399641673,103.72815925909896,0.5549105057208522,0.9085273312475903,0.35211789402161553,0.5751681523261292,1500,24,10,2,6.023950281652165,0,0,0,6119.961396286837,3
TestNo_021,13,0.2162529961039156,82.41974455605884,0.4538778366100596,0.6598938868132495,0.40219826244371915,0.5250259368877807,1500,24,10,1,5.377962417113887,0,0,0,4862.764928807472,3
TestNo_022,28,0.5424275588480022,234.76674398484315,0.4664788078349724,0.6267272189475342,0.48900809613381135,0.5041137983742768,1500,24,8,2,5.178924624706337,0,0,0,13851.237895105745,3
TestNo_023,23,0.5790590044597169,105.11150106135474,0.8317090632776072,0.9204368513753706,0.47492616335961985,0.7541657427447639,1500,24,10,3,5.850585242131798,0,0,0,6201.5785626199295,3
TestNo_024,12,0.5327811915861017,75.71064803936918,0.37557311782761493,0.9406181997952769,0.4021516694810014,0.8387548897715811,1500,24,9,2,5.925941181496391,0,0,0,4466.928234322781,3
TestNo_025,27,0.11046705891336664,128.943287812374,0.33412883866658794,0.8449372922997322,0.4106322362341378,0.6325408874945269,1500,24,6,1,6.027219259071679,0,0,0,7607.653980930066,3
TestNo_026,7,0.4352171668984588,210.45487920035885,0.5464732859997671,0.7203398342144147,0.3246329001776269,0.5096020179379556,1500,22,14,1,3.5240202852535907,0,0,0,12206.382993620813,3
TestNo_027,14,0.3053413165051414,102.42256935755022,0.8859366139937426,0.7905211596762852,0.48036316421465464,0.6213542174516533,1500,24,9,1,5.378104117525232,0,0,0,6042.931592095463,3
TestNo_028,14,0.32209170343918325,218.89669339185969,0.6053364420419282,0.8876505587095959,0.45981070251372697,0.5039642781964615,1500,24,11,0,4.585683882085262,0,0,0,12914.90491011972,3
TestNo_029,8,0.22853134609460438,166.2590835552275,0.4361871236829126,0.8347573342859683,0.4757624093161176,0.6695080479723694,1500,22,12,1,4.213694240271428,0,0,0,9643.026846203196,3
TestNo_030,8,0.3884039598191279,79.80261071014334,0.3218766304953711,0.5237347784729979,0.4502492324625324,0.5471889934512246,1500,22,10,1,4.966263184166355,0,0,0,4628.551421188313,3
TestNo_031,27,0.45863093793287824,195.5175327810559,0.7786828088046436,0.8889648199051879,0.33706642152118005,0.6900433459727342,1500,24,11,3,6.18707652899667,0,0,0,11535.5344340823,3
TestNo_032,16,0.3223563884291679,194.136247487785,0.890004461048536,0.6087205743960933,0.40438463315973017,0.7863938774166896,1500,24,12,1,4.428032250191348,0,0,0,11454.038601779313,3
TestNo_033,22,0.43111607916479655,228.8305776322839,0.4608859377671525,0.6420508165238297,0.2375753693288624,0.7622039887384451,1500,24,8,1,5.998526579964757,0,0,0,13501.004080304749,3
TestNo_034,10,0.5115017872234674,108.75782470297966,0.6913686676910678,0.6823387141588984,0.37881307864329417,0.5429802210515633,1500,24,12,0,5.879995565213341,0,0,0,6307.95383277282,3
TestNo_035,18,0.548766163261042,276.94031091254465,0.3524500847226503,0.9214219990896015,0.44766045245612474,0.8165242857250667,1500,24,10,1,5.313610123115191,0,0,0,16339.478343840135,3
TestNo_036,10,0.24233736942323184,143.99280548228478,0.7537860581881766,0.7428478050064186,0.22324508796664483,0.5072116035835649,1500,24,11,1,6.675650883170764,0,0,0,8351.582717972517,3
TestNo_037,15,0.28367025763863996,181.48664422536484,0.7852796667006905,0.6627957403651547,0.357276416161321,0.7682909301770404,1500,24,12,0,4.646334959596163,0,0,0,10707.712009296527,3
TestNo_038,23,0.5623293047911234,179.2829730026595,0.3702386477891176,0.7376799746403577,0.238061848418928,0.736997391670562,1500,24,11,2,5.361728630875313,0,0,0,10577.695407156909,3
TestNo_039,22,0.5294902735611101,72.19331673905816,0.818996985724666,0.644278957947602,0.2534994537284649,0.5957479345368185,1500,24,12,2,4.135558229072026,0,0,0,4259.4056876044315,3
TestNo_040,22,0.30250054929377423,282.8861017766301,0.3534058409376053,0.7301865383642718,0.47555645913293637,0.8616454641918021,1500,24,13,2,5.854148451823389,0,0,0,16690.280004821172,3
TestNo_041,12,0.20411590430410723,112.62073668744087,0.7835435055200648,0.6258532354458994,0.25745639661504444,0.7017053843172126,1500,24,14,2,5.921324262775255,0,0,0,6644.623464559012,3
TestNo_042,24,0.2052642442203065,175.36036842447766,0.44017485818913993,0.6843024172681291,0.4340252071204894,0.8084899261161616,1500,24,8,4,4.773065902616421,0,0,0,10346.26173704418,3
TestNo_043,17,0.3703054971623645,262.40004374561454,0.588080963783024,0.6679433160973071,0.34797424790779574,0.7316519216140196,1500,24,7,1,6.3959763659402995,0,0,0,15481.602580991257,3
TestNo_044,26,0.4506466710441921,247.26015105051178,0.5105853743556549,0.6820941837418475,0.3181045657971838,0.5767492737618006,1500,24,11,3,4.977932703378947,0,0,0,14588.348911980194,3
TestNo_045,28,0.21162770053468047,280.57694387089623,0.5555358930220091,0.9434858599648481,0.3662175150380632,0.8723331456703229,1500,24,7,1,4.164807921164394,0,0,0,16554.039688382876,3
TestNo_046,18,0.5243837926406572,226.5145286595077,0.594272645111871,0.6159630416851308,0.46547802405349,0.7308081606762233,1500,24,11,2,5.223476256774682,0,0,0,13364.357190910956,3
TestNo_047,17,0.38533228949039455,158.89728950317726,0.548908110180957,0.8297255369359879,0.4057628825259394,0.8333085128143392,1500,24,14,3,4.83680660851203,0,0,0,9374.940080687458,3
TestNo_048,20,0.5566029809070862,249.45059305215193,0.8528746417299182,0.9403276851197104,0.20320103810184884,0.749096510550991,1500,24,9,2,4.442154182683935,0,0,0,14717.58499007696,3
TestNo_049,20,0.4803524030219475,87.4656997216379,0.6430972627096145,0.6141391134536189,0.26841854507000595,0.5046104056211941,1500,24,11,2,6.073318067183842,0,0,0,5160.476283576636,3
TestNo_050,19,0.36482226351756675,136.94252440110944,0.6123123201849088,0.7949224397585539,0.3255089115286379,0.7856612585568696,1500,24,9,1,7.042565104821203,0,0,0,8079.608939665457,3
TestNo_051,13,0.3781181970128864,152.85273294011637,0.8686396824037832,0.5568665638761523,0.4921076404550596,0.5922554560857056,1500,24,6,4,4.516951567910136,0,0,0,9018.311243466866,3
TestNo_052,19,0.269601715635959,130.67092676945506,0.6869437943189503,0.8831680021912972,0.3827586174179979,0.841269191458689,1500,24,14,1,4.703366214281412,0,0,0,7709.584679397849,3
TestNo_053,28,0.22230813702613303,236.53274455966056,0.6124893516864494,0.6208507132792884,0.43298205193891715,0.7208889120695386,1500,24,13,1,5.254821492317365,0,0,0,13955.431929019975,3
TestNo_054,19,0.14996593852720483,251.25442330865695,0.521933175388875,0.7918403715650041,0.41761688049854984,0.5838643688446802,1500,24,10,1,4.778413689450756,0,0,0,14824.01097521076,3
TestNo_055,21,0.10281565637402687,96.57919412963338,0.35983572231202077,0.6634960140060545,0.3504052980901238,0.5173588714314243,1500,24,11,1,6.249116081077413,0,0,0,5698.172453648369,3
TestNo_056,19,0.22750182625053786,115.63755750500006,0.32355183184259995,0.6374499019468167,0.423381103701014,0.5190071028828441,1500,24,11,0,5.583015596713308,0,0,0,6822.615892795004,3
TestNo_057,29,0.24701985501999954,227.5608354818148,0.36923991496849695,0.6830641811105822,0.4543915079937771,0.6470632184236433,1500,24,7,1,6.08452914857586,0,0,0,13426.089293427074,3
TestNo_058,13,0.38135577167110146,74.9327430859706,0.8531733780796502,0.563346705997046,0.26746904171912217,0.723253663251286,1500,24,11,0,7.52143779418483,0,0,0,4421.031842072265,3
TestNo_059,10,0.11422869592196125,207.3387356572346,0.88558987163547,0.6490462165804046,0.2355967109588757,0.7281549301470123,1500,24,16,3,4.194641179713965,0,0,0,12025.646668119607,3
TestNo_060,19,0.12560317459516454,236.37577133819318,0.6031992200015281,0.7914690836556033,0.3507919414926606,0.6967245289289824,1500,24,13,1,6.055982355765841,0,0,0,13946.170508953397,3
TestNo_061,19,0.36488745762839925,130.43425746456944,0.3450132533357509,0.9030430536808634,0.4408027437578861,0.5558107122238677,1500,24,15,0,5.253578926816143,0,0,0,7695.621190409597,3
TestNo_062,12,0.4976435223986113,207.694933276233,0.652537063289879,0.6590969843919516,0.3447354411143353,0.7389397203911412,1500,24,8,2,4.935921600944644,0,0,0,12254.001063297746,3
TestNo_063,16,0.19602099677950205,276.1063355792876,0.41886251654465245,0.5116132256860539,0.206083992130226,0.7489261425817058,1500,24,10,1,6.285722692384296,0,0,0,16290.273799177969,3
TestNo_064,21,0.20474311135979986,57.59935370288154,0.5601735521410043,0.7562803412049895,0.4629815835111795,0.8712867182590378,1500,24,13,0,6.136352984210447,0,0,0,3398.3618684700104,3
TestNo_065,13,0.22265524899298997,291.44788252674186,0.30494174495517606,0.8958742398770971,0.2599185557367215,0.8789137292359072,1500,24,10,1,3.993506539318346,0,0,0,17195.42506907777,3
TestNo_066,22,0.11605987803390724,83.34980879437236,0.711823339663586,0.595566794886124,0.4572763027287205,0.5234363550840542,1500,24,11,3,5.620271173908687,0,0,0,4917.638718867969,3
TestNo_067,17,0.46364623861978427,117.39042331311487,0.3601015957423979,0.6585939614987333,0.32089184003701826,0.5066148498242683,1500,24,10,2,3.554924048242786,0,0,0,6926.034975473777,3
TestNo_068,22,0.3181755971518059,247.47800042571134,0.790748775627999,0.6307167225240247,0.3019143631508253,0.8743820614914414,1500,24,7,3,5.018965494971607,0,0,0,14601.20202511697,3
TestNo_069,16,0.5349061829069616,162.23885936955938,0.8875489672211911,0.9319254716294945,0.2987410116668241,0.8543694681667213,1500,24,8,0,6.217727766476106,0,0,0,9572.092702804002,3
TestNo_070,16,0.13634107792040548,228.5303818505764,0.7217104940376196,0.7763196231376536,0.3530787938661948,0.6735137608829491,1500,24,11,0,5.55692143917887,0,0,0,13483.292529184006,3
TestNo_071,8,0.404344380264659,88.16324500015176,0.7983499950686709,0.6599522586112153,0.2844661588184587,0.8363555906845941,1500,22,12,1,5.588211207455347,0,0,0,5113.468210008803,3
TestNo_072,22,0.12684859396968715,128.3513903686391,0.38965914128521145,0.7610793664084402,0.39852954641821875,0.7884543414396175,1500,24,15,3,5.602918686143182,0,0,0,7572.732031749708,3
TestNo_073,17,0.2641361467790756,89.55981566855337,0.4005685536879776,0.797850749615405,0.36512911638413614,0.5488341686604931,1500,24,10,1,6.80025374728128,0,0,0,5284.029124444649,3
TestNo_074,11,0.47757152505807077,250.9379935760204,0.6317853516104639,0.7198525222631786,0.2341814549383956,0.5335806645999135,1500,24,8,2,4.971585569734866,0,0,0,14554.403627409181,3
TestNo_075,13,0.19716317693688715,293.48389352610684,0.5169871966530117,0.7706192951494222,0.38299444784434145,0.7241893928694008,1500,24,6,3,4.488767231052824,0,0,0,17315.549718040304,3
TestNo_076,17,0.2693198473432342,123.36964433975359,0.4268821920298479,0.6195858692839976,0.22844913165323041,0.6387428043715558,1500,24,11,3,5.165835315510102,0,0,0,7278.809016045461,3
TestNo_077,27,0.49845578287131487,136.62376579420624,0.7646391222103535,0.6181053363432006,0.2985776489084164,0.5431622868891904,1500,24,9,1,4.479020224179526,0,0,0,8060.802181858168,3
TestNo_078,28,0.19334949243858637,99.6001823114291,0.5834761973123685,0.7212260051781488,0.20553026291022258,0.5591818955095883,1500,24,12,1,5.669814032984512,0,0,0,5876.410756374316,3
TestNo_079,27,0.5688410510797351,151.380288800884,0.6412614615137264,0.8557967867205248,0.40914194418373495,0.8982080913057515,1500,24,10,1,4.615205007503792,0,0,0,8931.437039252156,3
TestNo_080,27,0.5988481093306067,238.34702872995896,0.8824745943414178,0.8541955096411431,0.488960792291425,0.7829082903777821,1500,24,12,0,6.160996813962184,0,0,0,14062.474695067576,3
TestNo_081,22,0.23999377472704866,57.20034264233338,0.5488984031333723,0.6950943962617104,0.34015224000573396,0.7819296661562865,1500,24,11,1,5.9184733889668415,0,0,0,3374.820215897669,3
TestNo_082,12,0.21327692426314562,148.78727712440917,0.6922737905020337,0.6971143024105113,0.43279217262496644,0.7877074023794459,1500,24,7,2,5.315360912783731,0,0,0,8778.449350340143,3
TestNo_083,12,0.13594970932874803,228.91844421383487,0.5344215304128657,0.8447359996031996,0.33358843171256314,0.6384009651889105,1500,24,16,1,5.19992525471911,0,0,0,13506.188208616259,3
TestNo_084,15,0.34927243916564665,268.9133469186465,0.36513788682168563,0.8562798018498438,0.25122636529885894,0.5146831931218514,1500,24,12,2,5.671675003332937,0,0,0,15865.887468200142,3
TestNo_085,25,0.2822504822743962,297.1901014735654,0.6563126188234805,0.6797301358002327,0.45066178377242766,0.7919496050570564,1500,24,7,3,4.983812993504304,0,0,0,17534.215986940355,3
TestNo_086,26,0.14186206655445496,243.28466822131938,0.3599621439411717,0.896535156602439,0.29126135544050114,0.76175734593223,1500,24,9,4,4.812476067448027,0,0,0,14353.795425057844,3
TestNo_087,25,0.5564293449821937,100.55377186474334,0.6257699627688678,0.7866045374744661,0.3565482423091535,0.6736305576787678,1500,24,16,1,4.924725173752858,0,0,0,5932.6725400198575,3
TestNo_088,25,0.5601355988007694,156.87346799858005,0.5190303924633185,0.8609995935370858,0.3588448647138182,0.7737796193852788,1500,24,17,1,4.987687866421764,0,0,0,9255.534611916224,3
TestNo_089,17,0.4300863208234784,248.6566977566954,0.7507843773913059,0.9240175281463525,0.3194769227471035,0.5825546968992723,1500,24,8,1,5.3611649052412975,0,0,0,14670.74516764503,3
TestNo_090,7,0.3284081631031599,256.4633585847412,0.4878499016108112,0.6728720823916168,0.4728431325103672,0.834761378126662,1500,22,8,1,4.39433150922171,0,0,0,14874.874797914988,3
TestNo_091,16,0.23141151310619437,193.93752088007764,0.7933097434900405,0.8503934679837092,0.46699924477433963,0.8712528744061776,1500,24,15,1,5.4344626223545305,0,0,0,11442.313731924582,3
TestNo_092,21,0.12238618625904754,185.5424776114287,0.31038007364458187,0.8503409169515324,0.29849368206273913,0.6888029928469317,1500,24,10,4,3.930860310830311,0,0,0,10947.006179074293,3
TestNo_093,19,0.18827709612142027,208.7487675552309,0.4749919112368194,0.8561896784001013,0.442433103984303,0.6855149823021413,1500,24,14,3,4.882582973499175,0,0,0,12316.177285758624,3
TestNo_094,26,0.18481204651578623,224.33951670844263,0.43468830073963705,0.5308039262417192,0.34444810356481825,0.5677144841091157,1500,24,10,2,5.399949586175215,0,0,0,13236.031485798114,3
TestNo_095,8,0.27424767412300144,255.66403067759634,0.6890543590629473,0.6304812448117041,0.4536005366067927,0.6973174322250769,1500,22,13,2,3.1133302217836496,0,0,0,14828.513779300589,3
TestNo_096,29,0.3195353073709698,287.5838666670976,0.7339739690056899,0.5318006856386353,0.40453493636370363,0.7746866638419394,1500,24,13,2,5.660901381544944,0,0,0,16967.448133358754,3
TestNo_097,26,0.2473091498424517,51.88527317899967,0.47799430567083656,0.6265897117118342,0.4669893822502727,0.886848471301899,1500,24,9,1,6.2807895621378735,0,0,0,3061.2311175609802,3
TestNo_098,29,0.4056043264077712,246.61120579860582,0.5004088024545925,0.8741953991042584,0.38452548994630503,0.7787969326393753,1500,24,14,2,4.921478337355703,0,0,0,14550.061142117742,3
TestNo_099,10,0.5525669374220928,100.16092073929892,0.8937522444844019,0.5032897198947234,0.2790450131428709,0.5799441189096796,1500,24,15,1,5.9485746186080295,0,0,0,5809.333402879338,3
TestNo_100,26,0.19258796942252956,188.710547592902,0.7333399537123164,0.9067892773444597,0.4651755189302835,0.7034961157720567,1500,24,12,2,5.195098002635678,0,0,0,11133.922307981218,3
