test_no,dr1_period,dr_threshold,cost_per_review,rework_load_factor,decay,uncertainty_threshold,maturity_threshold,steps,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
TestNo_016,13,0.1683004518255863,212.90994011931915,0.7431584748793985,0.6420323046935075,0.39344978120669416,0.6580523630446014,1500,24,9,2,4.54245283119557,0,0,0,12561.686467039828,3
TestNo_017,9,0.3529789538674658,105.21319574075223,0.32335797799540045,0.5162084682311419,0.2525665316317482,0.8467081418024001,1500,24,9,1,6.390774022072307,0,0,0,7154.497310371152,3
TestNo_018,22,0.26622807857435604,64.1464140366789,0.5243526282076882,0.9250018622124365,0.3925203191895674,0.7685916594668828,1500,24,9,3,4.372516696954008,0,0,0,3784.6384281640558,3
TestNo_019,27,0.1512839812917949,148.18268581785406,0.6320227138498631,0.7264096126481929,0.2581589203810678,0.843526708467262,1500,24,10,0,5.529011183786746,0,0,0,8742.778463253388,3
TestNo_020,21,0.2622559000876711,117.37796557306817,0.4145559510429861,0.8125884315021774,0.2656146838993782,0.7381213063709956,1500,24,12,4,4.791004488582486,0,0,0,6925.299968811023,3
TestNo_021,26,0.17746265557172133,70.68420890454748,0.5907227970480065,0.6360887800753414,0.36902250934515624,0.8215219561933901,1500,24,12,1,4.668268776494825,0,0,0,4170.368325368301,3
TestNo_022,14,0.2699859318966241,69.73485073663889,0.5656788819262425,0.6174718368056816,0.30301601065329326,0.8338287161022511,1500,24,7,2,5.085024784705791,0,0,0,4114.356193461695,3
TestNo_023,23,0.5790590044597169,105.11150106135474,0.8317090632776072,0.9204368513753706,0.47492616335961985,0.7541657427447639,1500,24,10,3,5.850585242131798,0,0,0,6201.5785626199295,3
TestNo_024,12,0.5327811915861017,75.71064803936918,0.37557311782761493,0.9406181997952769,0.4021516694810014,0.8387548897715811,1500,24,9,2,5.925941181496391,0,0,0,4466.928234322781,3
TestNo_025,27,0.11046705891336664,128.943287812374,0.33412883866658794,0.8449372922997322,0.4106322362341378,0.6325408874945269,1500,24,5,1,6.0998631987450285,0,0,0,7607.653980930066,3
TestNo_026,15,0.3773659016411771,69.1895154721845,0.3025124661767747,0.8016954502086129,0.3925458550404306,0.6643155239998447,1500,24,11,3,3.8340944399514485,0,0,0,4082.1814128588853,3
TestNo_027,29,0.29677766805315775,82.67933089743931,0.7030253155464365,0.8281894102147427,0.37251817203764437,0.5827271572533586,1500,24,10,2,6.152462277659171,0,0,0,4878.080522948919,3
TestNo_028,7,0.4890231532415996,165.18340006041848,0.8933043247821979,0.7174544341439458,0.49606878361648926,0.8018277444822947,1500,24,10,2,4.686631055781423,0,0,0,11232.471204108457,3
TestNo_029,28,0.3118850599654617,135.53315002797373,0.8769304392825399,0.7001835947723933,0.346714520134785,0.6406599489367621,1500,24,11,3,4.215160303113241,0,0,0,7996.455851650451,3
TestNo_030,24,0.583137148874093,292.5186141666767,0.8190426596252363,0.7703564672028286,0.410259709173164,0.6140823210721656,1500,24,9,2,5.253242843463813,0,0,0,17258.598235833924,3
TestNo_031,18,0.18958195914507545,272.78502294837733,0.5762132238808961,0.819352104577036,0.49511347496274555,0.5200701401279896,1500,24,10,3,5.340952548599736,0,0,0,16094.316353954266,3
TestNo_032,26,0.27983778061153386,221.80858586517073,0.487700518514532,0.5274074944558322,0.4104695796808827,0.5039310210279151,1500,24,14,3,3.9524198188105135,0,0,0,13086.706566045075,3
TestNo_033,29,0.4141735587747222,96.02533084023923,0.36339020726935845,0.865782937191541,0.3736269429079998,0.7473140084054879,1500,24,10,1,6.478965466061417,0,0,0,5665.494519574115,3
TestNo_034,20,0.5432977207511992,152.7356380875275,0.6625826518928873,0.7835084062784723,0.32521488254014197,0.5577248174749926,1500,24,11,1,4.568738109761121,0,0,0,9011.402647164123,3
TestNo_035,25,0.5089110367830953,294.7368389636655,0.6011217186147022,0.7047305958774817,0.4260426816339442,0.5529882625367706,1500,24,12,1,5.476484091551876,0,0,0,17389.473498856263,3
TestNo_036,23,0.42140329554308686,245.68641856284668,0.8624887034394628,0.8113673134699664,0.24675546096543305,0.5973770467061643,1500,24,4,4,6.161590620138274,0,0,0,14495.498695207953,3
TestNo_037,29,0.3702763376944621,164.55120131305398,0.8670102565490965,0.8031244243985127,0.21946978386152285,0.686290231066999,1500,24,12,2,5.289830826718346,0,0,0,9708.520877470184,3
TestNo_038,8,0.5992804032928143,56.20430286128729,0.8011464360953195,0.6644150786977937,0.45248463792734456,0.721848196484458,1500,24,10,1,5.093925897658243,0,0,0,3821.892594567536,3
TestNo_039,25,0.20889040088378427,219.25945372050256,0.781927273946456,0.7528446303086809,0.4222649620165957,0.7647441248860023,1500,24,7,2,5.277950289983754,0,0,0,12936.30776950965,3
TestNo_040,11,0.3890360510062063,289.49483831222267,0.6018435601629655,0.5373115616275165,0.38600040004322256,0.6360891977805028,1500,24,10,1,4.942958142527962,0,0,0,16790.700622108918,3
TestNo_041,16,0.42302347204829804,87.65273826712979,0.8595888603254873,0.6723764628894515,0.41885642659293154,0.508136432752871,1500,24,12,0,5.999558588277555,0,0,0,5171.5115577606575,3
TestNo_042,21,0.382873653275573,228.67557909556442,0.8626227692276207,0.91051455249552,0.4838226854206494,0.5978862388094803,1500,24,15,2,4.941654714671949,0,0,0,13491.8591666383,3
TestNo_043,19,0.23910859353441108,65.40199632311732,0.39749904928466484,0.9027652364840466,0.4058072671807673,0.5999606886547559,1500,24,6,3,5.103955452304627,0,0,0,3858.7177830639216,3
TestNo_044,18,0.5470497680530796,279.9677335326357,0.33309395436107125,0.8692887021595155,0.2113092171268012,0.6468678502780091,1500,24,12,1,5.252865281402997,0,0,0,16518.096278425503,3
TestNo_045,23,0.2506156473969541,165.84775220116154,0.6596583252165731,0.5770730347998078,0.4224913455852863,0.6210561362547258,1500,24,6,1,5.372191588395647,0,0,0,9785.01737986853,3
TestNo_046,11,0.13979407368602123,285.099258486386,0.45639982953726105,0.8840059239239257,0.4590474351388455,0.8090090367050178,1500,24,11,2,4.7822321452318945,0,0,0,16535.75699221039,3
TestNo_047,29,0.29442574823705825,61.85390903502123,0.7807029019771949,0.7719713235872636,0.2595628576604605,0.697931382648568,1500,24,10,2,4.669728765521286,0,0,0,3649.380633066252,3
TestNo_048,27,0.2646890335171088,196.94885126659304,0.8083780473212965,0.6985734515375308,0.2053873591250453,0.529804184727456,1500,24,10,2,5.825871684125842,0,0,0,11619.982224728989,3
TestNo_049,29,0.26498744764513826,290.54647737295005,0.8408915106604495,0.6216724558897954,0.4410625330479283,0.8982416807214024,1500,24,14,2,5.311013385594674,0,0,0,17142.242165004052,3
TestNo_050,19,0.3245741013661063,160.03019274623404,0.35468240345382435,0.823371683310588,0.2641210063945732,0.5787814520834885,1500,24,12,3,4.874889047879305,0,0,0,9441.781372027806,3
TestNo_051,20,0.2711327963948731,70.96843463800302,0.8956823869116086,0.5572321041346299,0.2217045151508172,0.8514122996828624,1500,24,12,4,4.562787202635128,0,0,0,4187.137643642179,3
TestNo_052,17,0.24803275501947356,178.7323738481207,0.39922225530791156,0.9399707657714749,0.23237736648949817,0.8727776558617488,1500,24,12,1,5.5261474074006625,0,0,0,10545.210057039121,3
TestNo_053,10,0.23548160393560977,121.40664992089427,0.4625455339481227,0.8849336729469295,0.20956543856257764,0.5304399955923097,1500,24,13,2,4.813691094665681,0,0,0,7041.585695411868,3
TestNo_054,25,0.5177430778216481,90.66305454747516,0.8126075896696294,0.8090455080187262,0.3560248049649752,0.832100077112554,1500,24,8,0,5.519999898486377,0,0,0,5349.120218301034,3
TestNo_055,21,0.48723870963799165,58.447287737062155,0.6558935973162806,0.5840298473438169,0.3037848553589609,0.6391874664620866,1500,24,10,3,4.528937991582628,0,0,0,3448.389976486667,3
TestNo_056,11,0.5298327738332376,114.43880390702742,0.43585776305259,0.7163213254179601,0.3496553071232823,0.5860340915140372,1500,24,14,1,5.814212064683358,0,0,0,6637.450626607591,3
TestNo_057,22,0.5456413324138752,250.97117718381335,0.410424620892868,0.6331668570411297,0.41511438161213143,0.5337082236723062,1500,24,12,3,5.049333758839934,0,0,0,14807.29945384499,3
TestNo_058,21,0.45808693847821536,154.18726515601327,0.7543773432427159,0.6021505847022892,0.2663829773198552,0.5645667950750296,1500,24,12,0,6.226269301510237,0,0,0,9097.048644204782,3
TestNo_059,27,0.14200085726031283,220.3815074716626,0.7080658190599665,0.8010860075880275,0.4827003484805111,0.8292350116027523,1500,24,11,2,5.537053009451552,0,0,0,13002.508940828093,3
TestNo_060,17,0.5539453002064164,140.7972990227123,0.4722913580625772,0.7253307077648892,0.33678385573059844,0.6377712184868753,1500,24,12,1,5.6927027631917415,0,0,0,8307.040642340027,3
TestNo_061,10,0.2741373076815957,147.3872911203806,0.6067774477476208,0.9180843621155707,0.46228896806665226,0.5538101969156738,1500,24,9,3,4.430278265725137,0,0,0,8548.462884982075,3
TestNo_062,14,0.5096668761494305,82.67456343707826,0.4040238940545049,0.6533944428127714,0.322546216664682,0.6394811243371914,1500,24,14,3,4.762633749403414,0,0,0,4877.799242787618,3
TestNo_063,15,0.5732819214893718,111.6543556726685,0.7010164212704365,0.8330672271639159,0.3344386098395479,0.8750103947038332,1500,24,14,2,5.5212430831725685,0,0,0,6587.606984687442,3
TestNo_064,26,0.1111508524493218,202.37628061235776,0.5206993345925739,0.6870474506752021,0.44961222176563276,0.6239359086110713,1500,24,9,2,4.554115240140523,0,0,0,11940.200556129108,3
TestNo_065,28,0.4014544057123428,194.76813192149862,0.43914067306134896,0.5210140180483008,0.48355657392786333,0.6254941035378616,1500,24,9,2,3.975577143937601,0,0,0,11491.319783368417,3
TestNo_066,18,0.5701580766196321,123.41910333960905,0.5494221469709575,0.8541305647155686,0.3638073779962251,0.7188112585697791,1500,24,10,2,4.682608117205964,0,0,0,7281.727097036934,3
TestNo_067,12,0.18212053361157723,109.1995086490297,0.6015177760209933,0.6220300035700416,0.48428075048231667,0.685546088571539,1500,24,6,1,6.332611525242067,0,0,0,6442.771010292751,3
TestNo_068,19,0.16000137480844404,182.99293362412456,0.5140777533929608,0.8564976649199083,0.4274387619490535,0.864245002949042,1500,24,8,2,4.989991166143784,0,0,0,10796.583083823349,3
TestNo_069,19,0.21913120666996502,262.77297055803615,0.6343314269580265,0.5930784671646026,0.38705234298686664,0.643086705976971,1500,24,10,3,4.671172542413447,0,0,0,15503.605262924133,3
TestNo_070,21,0.3214352530529453,172.78524228366553,0.7094874397421171,0.5457085449059216,0.29850562214321547,0.5301088964014415,1500,24,8,1,4.600111570997585,0,0,0,10194.329294736266,3
TestNo_071,22,0.5356364538086973,256.8702399392515,0.5160706292934023,0.7700557729727734,0.24687840194340668,0.7142103530782398,1500,24,9,3,5.500196689355928,0,0,0,15155.344156415837,3
TestNo_072,12,0.43909129229453403,275.5485295956689,0.5314393967399,0.850596884302391,0.4174367903586306,0.523810478748729,1500,24,14,0,5.448409807698773,0,0,0,16257.363246144467,3
